sub,ses,group,intact_hemi,hemi,category,peak_x_mni,peak_y_mni,peak_z_mni,peak_val
sub-004,01,OTC,left,left,face,65.294,32.1445,24.9315,3.4693737030029297
sub-004,01,OTC,left,left,house,49.1357,20.8514,32.2655,9.53709602355957
sub-004,01,OTC,left,left,object,63.2145,21.2485,36.9043,7.945600986480713
sub-004,01,OTC,left,left,word,66.3415,51.7056,23.1253,2.6311755180358887
sub-004,01,OTC,left,left,house_PPA,53.3129,44.6161,31.1177,3.178086996078491
sub-004,01,OTC,left,left,house_TOS,49.1357,20.8514,32.2655,9.53709602355957
sub-004,01,OTC,left,left,face_FFA,65.294,32.1445,24.9315,3.4693737030029297
sub-004,01,OTC,left,left,face_STS,76.7869,58.2816,45.3309,2.5165178775787354
sub-004,01,OTC,left,left,object_LOC,63.2145,21.2485,36.9043,7.945600986480713
sub-004,01,OTC,left,left,object_pF,64.775,36.4127,26.1828,6.371120929718018
sub-004,01,OTC,left,left,word_VWFA,66.3415,51.7056,23.1253,2.6311755180358887
sub-004,01,OTC,left,left,word_STG,76.7863,61.9537,43.1092,3.120662212371826
sub-004,01,OTC,left,left,evc,70.0075,79.378,33.3156,4.673140525817871
sub-004,02,OTC,left,left,face,65.8161,33.7331,25.3264,6.489858627319336
sub-004,02,OTC,left,left,house,48.6147,19.8115,32.985,9.547816276550293
sub-004,02,OTC,left,left,object,64.7787,22.2828,36.7734,9.081921577453613
sub-004,02,OTC,left,left,word,67.9054,41.6839,27.3013,4.832739353179932
sub-004,02,OTC,left,left,house_PPA,53.3138,46.2125,31.5131,4.530081748962402
sub-004,02,OTC,left,left,house_TOS,48.6147,19.8115,32.985,9.547816276550293
sub-004,02,OTC,left,left,face_FFA,65.8161,33.7331,25.3264,6.489858627319336
sub-004,02,OTC,left,left,face_STS,66.3376,34.783,25.1965,4.537867546081543
sub-004,02,OTC,left,left,object_LOC,64.7787,22.2828,36.7734,9.081921577453613
sub-004,02,OTC,left,left,object_pF,66.3391,35.3415,26.9004,6.216799736022949
sub-004,02,OTC,left,left,word_VWFA,67.9054,41.6839,27.3013,4.832739353179932
sub-004,02,OTC,left,left,word_STG,71.5537,34.2453,29.3832,5.983450889587402
sub-004,02,OTC,left,left,evc,68.446,75.7689,37.8968,4.062923908233643
sub-004,03,OTC,left,left,face,65.2944,32.1544,25.521,6.375585079193115
sub-004,03,OTC,left,left,house,58.0039,37.6908,33.1339,10.557040214538574
sub-004,03,OTC,left,left,object,63.7363,21.2506,37.4933,9.01939582824707
sub-004,03,OTC,left,left,word,65.817,43.7512,22.328,3.661116123199463
sub-004,03,OTC,left,left,house_PPA,56.44,41.3962,31.5032,2.862391710281372
sub-004,03,OTC,left,left,house_TOS,58.0039,37.6908,33.1339,10.557040214538574
sub-004,03,OTC,left,left,face_FFA,65.2944,32.1544,25.521,6.375585079193115
sub-004,03,OTC,left,left,face_STS,67.9006,36.8452,23.1675,2.828645706176758
sub-004,03,OTC,left,left,object_LOC,63.7363,21.2506,37.4933,9.01939582824707
sub-004,03,OTC,left,left,object_pF,62.1672,38.5275,23.5681,6.6793694496154785
sub-004,03,OTC,left,left,word_VWFA,65.817,43.7512,22.328,3.661116123199463
sub-004,03,OTC,left,left,word_STG,68.4237,40.559,23.8931,4.06730318069458
sub-004,03,OTC,left,left,evc,67.9234,72.065,37.7608,2.6802189350128174
sub-004,05,OTC,left,left,face,63.7318,45.8879,21.4815,4.491877555847168
sub-004,05,OTC,left,left,house,58.5251,37.1541,33.1982,7.303283214569092
sub-004,05,OTC,left,left,object,64.7762,25.3864,32.2583,8.542530059814453
sub-004,05,OTC,left,left,word,67.9049,41.674,26.7118,3.662393569946289
sub-004,05,OTC,left,left,house_PPA,55.3974,41.4118,31.5042,2.7046170234680176
sub-004,05,OTC,left,left,house_TOS,58.5251,37.1541,33.1982,7.303283214569092
sub-004,05,OTC,left,left,face_FFA,63.7318,45.8879,21.4815,4.491877555847168
sub-004,05,OTC,left,left,face_STS,75.2225,60.4005,43.8944,3.2309396266937256
sub-004,05,OTC,left,left,object_LOC,64.7762,25.3864,32.2583,8.542530059814453
sub-004,05,OTC,left,left,object_pF,66.3395,34.8226,27.5546,5.639156341552734
sub-004,05,OTC,left,left,word_VWFA,67.9049,41.674,26.7118,3.662393569946289
sub-004,05,OTC,left,left,word_STG,72.0748,41.6016,26.1184,4.553940773010254
sub-004,05,OTC,left,left,evc,71.5766,79.9923,39.7343,5.391968727111816
sub-004,06,OTC,left,left,face,63.7323,33.7941,27.0969,9.877833366394043
sub-004,06,OTC,left,left,house,57.4828,40.3328,32.2213,12.723772048950195
sub-004,06,OTC,left,left,object,63.736,25.9804,35.1422,11.39235782623291
sub-004,06,OTC,left,left,word,67.3804,43.7179,21.7371,6.217966556549072
sub-004,06,OTC,left,left,house_PPA,56.44,41.3962,31.5032,8.833571434020996
sub-004,06,OTC,left,left,house_TOS,57.4828,40.3328,32.2213,12.723772048950195
sub-004,06,OTC,left,left,face_FFA,63.7323,33.7941,27.0969,9.877833366394043
sub-004,06,OTC,left,left,face_STS,67.3802,32.6619,26.044,4.503643035888672
sub-004,06,OTC,left,left,object_LOC,63.736,25.9804,35.1422,11.39235782623291
sub-004,06,OTC,left,left,object_pF,59.5628,41.7692,24.9508,7.255518913269043
sub-004,06,OTC,left,left,word_VWFA,67.3804,43.7179,21.7371,6.217966556549072
sub-004,06,OTC,left,left,word_STG,68.46,52.9162,65.5051,7.487861156463623
sub-004,06,OTC,left,left,evc,65.8449,67.5051,48.3673,3.9406888484954834
sub-007,01,nonOTC,right,right,face,27.7025,40.725,28.1693,15.434769630432129
sub-007,01,nonOTC,right,right,house,30.1969,39.8798,33.7887,19.639257431030273
sub-007,01,nonOTC,right,right,object,22.8365,28.2394,29.8853,13.962697982788086
sub-007,01,nonOTC,right,right,word,24.2907,32.8467,25.9484,6.7699360847473145
sub-007,01,nonOTC,right,right,house_PPA,35.1347,44.6926,31.4712,9.644074440002441
sub-007,01,nonOTC,right,right,house_TOS,30.1969,39.8798,33.7887,19.639257431030273
sub-007,01,nonOTC,right,right,face_FFA,27.7025,40.725,28.1693,15.434769630432129
sub-007,01,nonOTC,right,right,face_STS,13.7641,39.5624,31.6506,6.050752639770508
sub-007,01,nonOTC,right,right,object_LOC,22.8365,28.2394,29.8853,13.962697982788086
sub-007,01,nonOTC,right,right,object_pF,28.6623,44.896,24.8435,10.460144996643066
sub-007,01,nonOTC,right,right,word_VWFA,28.4775,65.5053,14.8627,3.5357108116149902
sub-007,01,nonOTC,right,right,word_STG,16.305,34.6837,24.6058,4.368752956390381
sub-007,01,nonOTC,right,right,evc,19.352,80.8913,38.0993,4.179170608520508
sub-007,03,nonOTC,right,right,face,27.7071,40.2263,28.2376,9.192314147949219
sub-007,03,nonOTC,right,right,house,29.6841,41.4382,34.1267,11.349421501159668
sub-007,03,nonOTC,right,right,object,19.3243,31.0902,28.3981,7.170679092407227
sub-007,03,nonOTC,right,right,word,22.5822,56.571,16.6444,4.093071460723877
sub-007,03,nonOTC,right,right,house_PPA,33.6395,44.7513,32.0158,5.394778728485107
sub-007,03,nonOTC,right,right,house_TOS,26.8695,22.1214,42.2823,11.564373016357422
